Radius: 0.5
item16	0010111010100100101010110101100000011001100100111101100001101100
item27	0010111010100100001010110001100000011001000100011111100001100111
item96	1001010100110101111101010100000011001110011111011011110001110101
item107	0110000111001000110010011011111011000001110001101110011000110011
item206	0111111100010001110110010000010010100100111100010110010100100001
item239	0101101101010001110110011100010010000101011100011110110011100011
item289	0110001100000000011101110010111010110010000011111110101010110110
item338	1110010101000001100000101010001010101000101000011111101111111010
item402	1001000000010100111111111111100110110011100100101011001110111111
item464	0011000000010100001101001111011100110111100101001111110101010111
item533	0011100010011111010000111000101011010011101100001101110101110001
item586	1011011111101111100110001010100100010110101001110101011000100011
item712	0000100010111011111000100101011100100110101001101110111010001010
item749	0000100010111011111110100101011100100110111001101010111011001010
item813	0110001010111110101101111001010111101110000110010110010110111000
item851	1011111110000010111110101010111101000011101000000000000000100001
item910	1001101000100011110001111011001011101111110011100001101101001111
item953	0000000001100010001011100111101001011100010001110100101011000111
item993	0001000000100010001110101101101001011100011001010100001011001111
item994	0001100000000011001010100111001001011100011001110100001011000111
item995	0001000001110000000010100111001001011100011001110100001011000111
item996	0001000000100010001010100111100001011100011000110100001011000010
item997	1001000000100000001000100111110000011100011001110101000011100111
item998	0001000000110010101110100101011001111010001011111100001111001101
item999	0001000010001010001010100011101001011101000001110101011011000111
item1000	0101000000010010001010100111101101011100010001110001000011001011
